peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Rel	2557.6812202594	2.5469475188584	0.106866814748287	5.91466764161846e-127	1.30145882890671e-124
Jak2	4098.62783311885	3.56654311875271	0.150244751615913	8.76156215487516e-127	1.89081250965402e-124
Slc2a1	693.109510561504	3.16595717107315	0.135141050888588	4.81269754105177e-123	1.01902060010723e-120
Noct	923.056472820605	4.39812888482496	0.18893299696448	1.00480995709024e-122	2.0881439515679e-120
Hcar2	313.390159839591	5.59698359976339	0.239281255159334	1.05282262831185e-122	2.14814100634829e-120
Sqstm1	8760.68211614339	2.64787624276336	0.113139507595206	1.61767296993979e-122	3.24170108369005e-120
Cd14	6947.89955622494	2.77144742812493	0.119750190071194	6.87362362362575e-120	1.35325972463734e-117
Six1	1330.36716825065	4.23019780497031	0.184368394334039	2.31894582020319e-119	4.48676034384831e-117
Pstpip2	1954.25849233848	2.97908480494152	0.129215686068357	4.20252878199233e-119	7.99335220195219e-117
Fcgr2b	2884.7303812996	3.86813165999912	0.170720013730189	2.85217467343234e-116	5.33451736420962e-114
Rab11fip1	2378.93155306607	4.97622024739094	0.220350386753676	2.50374273141454e-115	4.60606572654656e-113
Ccl5	610.299296116875	6.5529546302074	0.288888242073562	4.94819726023522e-115	8.95623704102575e-113
Plagl2	1810.1453011099	2.91533985417657	0.129962114267101	6.76230661377578e-113	1.20454928285384e-110
Cd44	9570.48280433553	2.55110809126708	0.113859464822773	1.33704235725065e-112	2.34442020829168e-110
Maff	328.518788532575	6.93425725668967	0.311530354749048	8.4957899216339e-111	1.46676545385501e-108
Jdp2	499.748789203558	4.67128246769459	0.214689349601246	1.12195406363444e-107	1.90766189425844e-105
Lztfl1	708.900615850702	3.0992878969435	0.141910543190465	2.42848816028332e-107	4.06753643801484e-105
Zhx2	297.888803655827	4.20859785062018	0.19494125408274	3.20943965187868e-106	5.2965193784386e-104
Met	548.326522410431	4.74649355918545	0.221256997994299	9.81089410668174e-105	1.59562106761134e-102
Aebp2	1633.00878092759	2.36862850589929	0.110738476553976	5.10671193614679e-103	8.1867887639199e-101
Adora2b	309.182512895377	6.1874447671928	0.288939461318073	5.21753231099906e-103	8.24664050620162e-101
Stx11	464.658290007418	3.84099866199544	0.181911742013427	1.53845138567114e-101	2.39784742361132e-99
Plaur	486.911224407546	4.05902793550133	0.192519687848252	1.87068960308636e-101	2.87573681175823e-99
Cd69	2060.79546872774	5.55485186469645	0.26214321916867	2.06931275752348e-101	3.13808483309845e-99
Gm6377	3819.04251560323	5.45027369059194	0.258621953320964	1.87280854580638e-100	2.80222100013856e-98
Nck1	1047.09636549781	2.89702247251612	0.13792216495023	2.13401149224897e-99	3.15103644289709e-97
Ets2	1163.84561447728	3.26192960114139	0.155671889911575	2.78302956269145e-99	4.05599451331473e-97
Rsbn1	1736.40527883864	2.94849845325865	0.142189638292928	5.43140148450849e-97	7.81425480245567e-95
Icam1	2532.59514662814	5.66076091649309	0.273698344147667	1.09839258631333e-96	1.56027362070989e-94
Nfkb2	1290.41741605182	3.25101902096262	0.157445625281764	1.67057594558059e-96	2.34340040766318e-94
Icosl	340.110582945686	4.15410964153084	0.203428952705034	1.63756238382336e-95	2.26873149027972e-93
Cln5	1695.79400650239	2.68633746459018	0.130610154220467	2.17947155172345e-95	2.98268655529763e-93
Etf1	3575.14610790294	2.0369023764483	0.0992157616307238	2.25480440011596e-95	3.04860421422907e-93
Syk	7237.69432223719	2.05468182769037	0.100365362954768	7.51073642348932e-95	1.00339862076663e-92
Rcsd1	902.632003643259	2.20537181462865	0.108364463597174	1.05326283876201e-93	1.39055477371616e-91
Abracl	1168.34552596704	3.05739361465019	0.150632790549761	3.7153226476871e-93	4.84806404097031e-91
Ccl7	688.764423775886	6.36155971494351	0.313183861084499	6.28657987994747e-93	8.10896544974374e-91
Pde4b	1296.88437147201	3.44542983572816	0.171491443569857	7.98202181861014e-92	1.01788919145958e-89
Rgs1	677.362247463427	4.47278101833242	0.223781402712204	1.05592602681985e-91	1.33141594078341e-89
Cdv3	2208.51189074041	2.23906496179766	0.111927982594249	1.23565412310607e-90	1.5407233966107e-88
Tarm1	266.716606524137	6.47619031881595	0.32379455951934	3.75678925373897e-90	4.63282296763283e-88
Arhgef3	1018.5188337761	3.11455337241376	0.157306337066284	7.1859709196009e-89	8.76532235432188e-87
Junb	740.318885865685	2.91470751063483	0.147108999619508	7.96730136979827e-89	9.61387698622325e-87
Clic4	10431.5518337228	2.54502778274207	0.129004930579654	4.65874868191394e-88	5.5617529477062e-86
Txnip	5066.22210869988	-2.73210282239295	0.138719653365278	9.54935879311599e-88	1.12803057238261e-85
Rnd3	805.38774140142	3.99846512494041	0.204644482080692	9.65661815792706e-88	1.12881842675268e-85
Nherf1	688.572484409486	2.33551472412391	0.118754796490898	1.19013719656621e-87	1.37687831132639e-85
Ccl2	908.153089499971	5.61141256828826	0.285621549065445	1.21117312445919e-87	1.38691681660011e-85
Fgd4	1828.15291131787	-2.14222909097359	0.109367719927458	4.23564092667973e-87	4.80124873527272e-85
Tlnrd1	439.574609602204	2.81531904255119	0.143771816796406	8.52304900379021e-87	9.56456559205337e-85
Snx18	1685.66403087256	2.71598426005848	0.140186627883851	5.13848293125943e-85	5.70931242124686e-83
Rasa2	731.081901169915	2.96383771422819	0.153085754210233	5.34314296791011e-85	5.87850493979286e-83
Larp4b	2832.22212111389	2.03767758633304	0.106421103481968	1.98087452049728e-83	2.15819163776897e-81
Inhba	391.974819536561	8.51081178528857	0.443313762222255	3.06177296232649e-83	3.30377078684883e-81
Rhou	296.406471801679	5.6583818289091	0.300588731516547	1.01338664185785e-80	1.08306903761227e-78
Chic2	493.005343027009	2.80163557632645	0.149037795386965	3.02285197673849e-80	3.20023064933578e-78
Sla	760.08390229693	2.31693811107214	0.123649962257569	6.71408328054461e-80	7.04163014712818e-78
Ddhd1	2685.71074271861	2.78789488534008	0.149380440901274	3.85097166883643e-79	4.00144482108171e-77
Fchsd2	1142.81602488387	2.31017259454323	0.124162271548346	7.831244784804e-79	8.06258981422665e-77
Rapgef2	1792.09433297678	3.13390285570637	0.169814328770774	1.07213959920701e-77	1.09377732566373e-75
Rps6ka5	476.159383336067	2.55859303822446	0.139351680270663	1.01937403145022e-76	1.03057796224634e-74
Zfp263	2161.84533741361	2.29293487801908	0.125584571343654	4.72900978390977e-76	4.73829891027102e-74
Trim36	291.650741100522	3.59666561949351	0.198220379712526	7.79195546350088e-76	7.7381702841953e-74
Serpine1	475.135515975105	7.31389914562237	0.402896373862157	1.15663024255873e-74	1.1385705773679e-72
Foxp4	279.433645106137	3.81234962518102	0.212797793314496	2.60244162267971e-74	2.53953042519232e-72
Trim13	395.686402135486	3.66114155494236	0.204693339321405	6.83872463795583e-74	6.61587654199485e-72
Rffl	452.768316116856	3.41524612627191	0.190677473829084	9.58152820028306e-74	9.19007773192962e-72
Stip1	1120.09617619668	2.02066457336455	0.112677784136258	1.25445680991367e-73	1.19300968820773e-71
Slfn2	12032.1244897373	2.56728613695854	0.142952138138866	1.53581322418797e-73	1.4483105883897e-71
Ikzf1	2789.64906499711	2.4129794295116	0.135032620960569	6.45005879623828e-73	6.03187998428216e-71
Rnf19a	1058.82497766076	2.33248060267187	0.130635996336038	7.45698125268757e-73	6.91588790228594e-71
Rab32	1014.91002939755	2.77448484374399	0.155633701219556	1.69267856829589e-72	1.55698679454233e-70
Klf6	8132.06032393537	2.09492523185133	0.117991726841992	3.20431835598738e-72	2.92348460088539e-70
Gpr85	341.25775949078	4.2713475293059	0.242673481371251	3.44199157796661e-72	3.11500237805978e-70
Traf1	355.653286883665	5.84025351265145	0.329628967185252	9.07370411462672e-72	8.14600860594728e-70
Olr1	366.882501129077	6.43787774411514	0.362512603389789	9.53393864755318e-72	8.49125869070173e-70
Spata13	315.277562977999	3.57977873400319	0.203223078157872	1.1020993712155e-71	9.7383930265987e-70
Orai2	636.736606957753	2.89491863400976	0.163441981802384	1.18028575064189e-71	1.03477864794557e-69
St7	315.261965228082	3.44088740793541	0.195120538593141	1.2189723861309e-71	1.06041148195046e-69
Spryd7	1001.44720193284	3.02435821518237	0.171520525097178	3.93618236323172e-71	3.39783372924511e-69
Kctd12	13089.8658464874	3.28752969198913	0.187176316669567	6.86108117082672e-71	5.87748495412347e-69
Psma6	1637.26039628055	2.06593498676684	0.117827345341801	1.57141482917869e-70	1.33594069795783e-68
Kdm6b	178.368927303711	4.88676146747646	0.282707768272851	1.85436061966633e-69	1.56463420104478e-67
Pvr	442.949232978793	2.84750830092689	0.163974601146369	5.51235850737723e-69	4.6163945649095e-67
Stx6	548.562722592234	2.58011503386426	0.148570200007312	5.60373327476009e-69	4.65815517106354e-67
Mapkapk2	5352.03624685599	2.27920259268894	0.131475786732335	6.5425157341649e-69	5.39853761535283e-67
Casp4	907.363378286633	2.84839881161661	0.164634961724508	1.68200212056044e-68	1.37776845233061e-66
Calcrl	2676.05596541824	2.29854717202387	0.134569786742549	5.4786206834388e-67	4.45515081953263e-65
Sertad2	853.416822982325	2.11559509554842	0.124162287153149	8.7224754886247e-67	6.99168713809617e-65
Gadd45a	234.028833015636	3.8625770637655	0.228325196006104	8.70826337856196e-67	6.99168713809617e-65
Acod1	14706.6740848064	7.61464709405028	0.450180530833138	3.33383009773951e-65	2.65335045083921e-63
Plscr1	227.128230618453	3.54452012277475	0.212511473876062	1.21541707101386e-64	9.6052185710687e-63
Rgl1	854.1890699432	3.08582912996892	0.184213912782223	1.37305418303109e-64	1.07751147146677e-62
Gk	943.463455940856	3.60080343257992	0.217282094182363	6.07917309813144e-64	4.73753336855771e-62
Pcgf3	591.481689721148	2.01303601583112	0.121576410340053	2.71042562030553e-63	2.09768250421163e-61
Eif4e	1175.1449272908	1.98481514263439	0.1199303505947	3.08307556366276e-63	2.36974479283723e-61
Ell2	2549.93559780541	3.0327410997031	0.183780156725749	9.80416443892843e-63	7.4845124716772e-61
Slc2a6	407.473892494961	3.32514457324432	0.202395484346041	1.55152971322416e-62	1.17643692174335e-60
Rab7b	950.382838811922	-2.48284835016946	0.150837820246877	2.40812119108288e-62	1.81368698029074e-60
Fam177a2	329.631045537661	4.89644451772393	0.300410323840436	3.11941201048671e-62	2.33373610544546e-60
