peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Nabp1	286.015949971864	-0.783744498347393	0.103469461145368	3.36108389023541e-16	6.99453147502439e-14
Icosl	340.110582945686	1.39053965496767	0.179276614837367	5.53142935177157e-16	1.13159919111666e-13
C1qb	1317.72445658196	0.673944531564176	0.0904260771331599	6.89772400822257e-16	1.38759214632077e-13
Dcbld2	216.241169943007	4.52780478072331	0.584154280866308	9.43768103106118e-16	1.8674231154903e-13
Adgra3	13.3088590176355	-7.38202990591363	0.964002135221392	2.4638180965141e-15	4.79649748789117e-13
Tbxas1	334.752648388394	0.866709685950402	0.118234951066073	3.63876660530748e-15	6.97141475016845e-13
Tceal9	98.1867974735754	1.4588675540656	0.195672254897002	5.56513493357239e-15	1.04954966637842e-12
Csf3r	439.920734815162	0.919318743120086	0.126184237828366	7.14180694411615e-15	1.32617861254588e-12
P2ry14	339.668905262415	-1.34781962698969	0.182107508164294	8.26199912113954e-15	1.51094438472961e-12
Slamf9	90.9519399051875	-1.66376893474653	0.225272877503527	8.66199198344485e-15	1.56045139164447e-12
Ceacam19	11.1516386931149	-4.85937227132899	0.651887342046199	1.32783861547798e-14	2.35691354247342e-12
Ifi27	128.755559039384	1.83514759795777	0.255099856601352	2.75171462905705e-14	4.81350660474183e-12
Abcb1a	206.112432973597	-1.00103575803343	0.139912035031801	2.82053694510306e-14	4.86341156105628e-12
Piezo1	347.637139095047	-0.791926335100943	0.113717196531109	3.20884553898689e-14	5.45503741627771e-12
Il17ra	323.389857904043	1.07390063828593	0.149763072446754	3.26643861990805e-14	5.47582140865141e-12
Spire1	237.185313427556	0.916039673498002	0.130326382652968	4.3731898655347e-14	7.23073995575394e-12
Cd274	3145.38691080902	-1.64945403781714	0.232022709944316	6.5803093537526e-14	1.07330180945667e-11
Ank	100.660775801066	1.59188618997927	0.223898388064334	6.7988689079711e-14	1.09416463625615e-11
Cd69	2060.79546872774	-1.61913004552499	0.228137343027235	7.32459918374896e-14	1.16326200194539e-11
Slfn1	2094.25483739431	-1.72772347343949	0.244404980764291	8.04634618016595e-14	1.2612908882416e-11
Chpt1	467.401910292414	-1.03340600096934	0.147771858657801	9.96196781631219e-14	1.54155066080626e-11
Lmna	218.926895700993	-1.12943401615816	0.160897630370195	1.0776410504335e-13	1.64647183275093e-11
Cept1	1102.62090140641	-0.881685159118285	0.129184397852912	1.45009772346929e-13	2.1878349402843e-11
Itgam	4653.77721522946	0.580735792443004	0.0864151553108705	2.76565932362065e-13	4.12117383161744e-11
Il1rn	3369.51243682702	-1.63969883331668	0.237530922630456	2.82630015305062e-13	4.16017595699036e-11
Pkib	162.18906792276	1.03724139617268	0.151644273707556	2.88430056581563e-13	4.19439853366201e-11
Nf2	404.58573817939	-0.606150396762804	0.0915630792887977	4.31236372234105e-13	6.1964559676972e-11
Ptprs	154.961542634264	-1.00898944223585	0.152352495585796	1.0977750552102e-12	1.55884057839849e-10
Nfkbid	195.510899507764	-1.35444729223975	0.20239566054044	1.24953722629994e-12	1.75371096760933e-10
Mefv	2268.4232181633	-1.19983364721925	0.179993352210349	1.3284803494595e-12	1.84307561126163e-10
Treml2	90.7556435603275	1.12654815928284	0.169905139935837	1.49003288795712e-12	2.02075246715083e-10
Itm2c	393.747150025763	0.966381789933424	0.147613673279039	1.48729669035118e-12	2.02075246715083e-10
Ly6c2	12.9045891508214	-3.86995539064747	0.598317575248723	1.63356965105572e-12	2.19079840980473e-10
Ppt2	311.668437768797	-0.722234884729567	0.113795916505136	1.74192587560032e-12	2.31044454049405e-10
Jag1	161.244535334621	1.89298745717495	0.288175410026377	1.8088558027733e-12	2.3731401673341e-10
Il3ra	31.6808894954079	2.37931080175982	0.37696138469707	1.92078885189086e-12	2.49289477874438e-10
Mcemp1	83.6145350925098	-1.55724523606582	0.235453344793394	2.10916495591346e-12	2.70825755509314e-10
S1pr1	286.014720324202	1.12495887070045	0.172157909782103	2.77258835150224e-12	3.52264646343496e-10
Sirpb1c	200.439271884447	-0.969671844104541	0.150431197964485	2.88739907946506e-12	3.63030280095243e-10
Ms4a6d	1485.94550334681	-0.692795220145792	0.110787081850905	3.22932056893944e-12	4.01834013062877e-10
Rps11	1226.40605262929	0.482536411041942	0.0741178747608791	3.55414346637559e-12	4.37739914685238e-10
Sdc3	2269.20868519494	-0.943217520388153	0.148064924190832	4.09596219965417e-12	4.99376401513392e-10
