Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Zpld1	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.74379719808008	1.63628512020582	1.63628512020582	2.49549353943458
Zpbp	2.97700843106732	1.63628512020582	2.60770588441532	1.63628512020582	1.63628512020582	2.41798058234476	2.31643773304159	3.26401705011268	2.99104033622852	2.5020728271906	1.63628512020582	1.63628512020582	2.41699187157671	2.80843728565004	2.2482574986802
Zp3r	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zp3	1.63628512020582	1.63628512020582	1.63628512020582	2.44596241102199	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.25301100147036	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zp2	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Znrf3	6.08900236263537	5.75810193308742	5.92928906866689	6.40091029766298	6.48879481558384	5.04636560541745	4.99803053596171	4.54750188243517	4.83210398120714	5.16755619940031	5.64028790171004	5.47490665208833	5.02252973293625	4.97163071097063	5.30276052737357
Znrf2	9.12889685493954	9.11147322006297	9.03817936720085	8.8407698939323	8.66632421072737	8.86223713628183	8.9827446641888	9.02358018942812	8.56493734581549	8.71336963980586	9.60906858561611	9.57771652447026	8.72816254459959	8.84975498014805	8.90779758114805
Znrf1	10.2357563629977	9.90361769161126	10.0266283149223	9.97339725076568	9.80320059723136	7.84350473278122	7.88892920089371	7.62697611396677	8.14146811495504	8.05069099912032	9.70061815024398	9.64512470776121	7.8161715223444	7.84186636129649	7.61330924383796
Znrd2	2.97700843106732	1.63628512020582	2.81552725995967	3.51100021835218	2.67254783046388	3.31018482427885	3.45505619731903	2.53846061923609	3.18351330082371	3.20240265869553	3.13253906726493	3.72016033701366	3.3812915758576	2.23432360038654	3.19121623602932
Znhit6	6.8362713394229	6.2893977366546	6.84751861789953	6.59361481192971	6.94624599480627	6.10294960771816	6.42015343969807	6.59294628605268	6.18826692551663	6.28893288315849	7.02672484135051	7.42291700222702	6.49278922523967	6.64969203822229	6.9236134936729
